"district_name","annual_domestic_industrial_draft","annual_groundwater_draft_total","annual_irrigation_draft","annual_replenishable_groundwater_resources","groundwater_availability_for_irrigation","natural_discharge_during_non_monsoon","net_groundwater_availability","projected_demand_upto_2025","stage_of_groundwater_development"
"Agra","10386.66","82090.24","92476.9","85379.22","6203.69","79175.53","11671.76","4936.82","116.8"
"Aligarh","11080.98","58849.03","69930.01","105109.95","8674.49","96435.46","12635.1","28986.07","72.51"
"Ambedkar Nagar","6033.74","39455.32","45489.06","80402.51","7062.11","73340.4","6670.83","27214.24","62.02"
"Amethi","4729.24","45357","50086.24","90313.34","8286.1","82027.24","5243.71","31426.53","61.06"
"Amroha","4564.47","44426.08","48990.55","53496.73","2674.85","50821.88","5188.02","3481.23","96.4"
"Ananthapuramu","17548.91","112733.84","130282.75","185489.05","9274.69","176214.31","23268.2","78547.23","73.93"
"Araria","6352.31","13511.94","19864.25","83573.65","7652.45","75921.2","6094.29","55387.98","26.16"
"Arwal","1897.17","6210.75","8107.92","20645.06","1938.79","18706.27","1676.17","10414.35","43.34"
"Auraiya","2811.57","29753.6","32565.17","72848.14","6502.76","66345.38","3041.69","33550.08","49.08"
"Aurangabad","6470.14","21138.25","27608.39","85085.74","8280.17","76805.57","5832.38","48556.98","35.95"
"Azamgarh","12787.7","64876.48","77664.18","121000.1","7748.38","113251.72","14836.82","33538.44","68.58"
"Baghpat","2.45","35149.16","35151.61","39025.58","3119.27","35906.31","2.6","2419.68","97.9"
"Bahraich","9178.6","62375.08","71553.68","140697.55","8406.59","132290.95","10470.83","59445.07","54.09"
"Baksa","2081.32","2548.56","4629.88","147043.72","19894.89","127148.83","2226.4","122371.23","3.64"
"Ballia","7698.07","46915.44","54613.51","93528.69","6465.43","87063.26","8772.29","31375.53","62.73"
"Balrampur","5795.61","43492.24","49287.85","95175.8","7884.46","87291.34","6750.02","37049.06","56.46"
"Banda","3762.52","37248.09","41010.61","67457.92","4389.58","63068.34","4256.96","21563.31","65.03"
"Banka","4343.35","12657.33","17000.68","51013.74","5101.36","45912.38","3979.14","28474.89","37.03"
"Barabanki","8511.84","107211.15","115722.99","204633.8","15406.27","189227.52","9670.51","72345.88","61.16"
"Bareilly","13150.76","72084.8","85235.56","132457.06","7003.68","125453.38","14695.65","41749.49","67.94"
"Barpeta","3922.34","24276","28198.34","126786.04","13659.7","113126.34","4461.22","84377.2","24.93"
"Basti","6212.45","39328.12","45540.57","78844.63","6365.42","72479.21","6902.14","26248.92","62.83"
"Begusarai","7940.72","20792.43","28733.15","55739.58","5573.98","50165.6","6958.59","20668.64","57.28"
"Bhagalpur","5902.39","14008.92","19911.31","76711.61","7241.91","69469.7","5437.25","48961.56","28.66"
"Bhojpur","7507.91","35935.74","43443.65","76793.86","7679.39","69114.47","5835.51","25030.24","62.86"
"Bijnor","7567.86","86484.11","94051.97","146628.52","11040","135588.52","8345.53","40758.88","69.37"
"Bongaigaon","1734.33","10024.56","11758.89","53798.18","6039.82","47758.36","1968.2","35765.01","24.62"
"Budaun","8091.96","52939.36","61031.32","84566.98","5441.57","79125.41","9105.51","18340.29","77.13"
"Bulandshahar","6449.51","132226.73","138676.25","164045.66","12285.66","151760","6972.13","18475.12","91.38"
"Buxar","4677.96","23195.56","27873.52","55098.77","5509.89","49588.88","3617.02","21318.3","56.21"
"Cachar","4030.47","0","4030.47","83512.79","43069.04","40443.75","4552.83","35880.36","9.97"
"Central Delhi","1483.93","167.09","1651.02","2006.54","200.66","1805.9","1534.23","250.53","91.42"
"Chandauli","4439.93","22626.09","27066.02","55974.33","4531.65","51442.68","4896.29","23920.3","52.61"
"Chandigarh","3674","950.7","4624.7","6375.6","637.56","5738.04","3483.2","1113.34","80.6"
"Changlang","185.31","0","185.31","25341.6","3951.82","21389.78","205.88","21183.9","0.87"
"Chirang","1027.41","1522.08","2549.49","112911.8","11585.3","101326.5","1101.8","98700.25","2.52"
"Chitrakoot","2375.04","28736.33","31111.37","41176.93","3539.43","37637.5","2726.88","6174.29","82.66"
"Chittoor","8829.89","69902.33","78732.22","137954.22","6898.15","131056.07","10061.78","53480.07","60.08"
"Darbhanga","9670.12","21147.19","30817.31","71995.52","6975.55","65019.97","9103.41","33203.37","47.4"
"Darrang","2047.31","15469.44","17516.75","62648.11","15054.96","47593.15","2332.28","29779.35","36.81"
"Deoria","6870.06","69475.14","76345.2","141143.86","12066.32","129077.54","7468.53","52133.91","59.15"
"Dhemaji","1415.66","1631.28","3046.94","135522.47","31751.51","103770.96","1596.65","100538.95","2.94"
"Dhubri","3031.38","23570.4","26601.78","112151.62","11215.16","100936.46","3517.91","73846.38","26.35"
"Dibrugarh","2895.58","4890.48","7786.06","132412.6","27758.18","104654.42","3088.53","96643.34","7.44"
"Dima Hasao","428.23","337.68","765.91","44933.62","4493.36","40440.26","465.88","39635.52","1.89"
"East Champaran","12922.06","42436.89","55358.95","140882.52","12016.94","128865.58","11421.87","72252.83","42.96"
"East Delhi","1122.48","128.69","1251.17","1557.83","155.78","1402.06","1151.87","177.92","89.24"
"East Godavari","8767.96","39158.73","47926.69","262429.1","13121.77","249307.31","4780.25","203246.6","19.22"
"East Kameng","28.35","0","28.35","12228.55","1222.86","11005.69","35.68","10970.01","0.26"
"East Siang","69.28","253.09","322.37","78506.8","4515.5","73991.3","73.76","73663.41","0.44"
"Etah","4426.67","41172.57","45599.24","62342.09","5151.7","57190.39","4840.12","11177.7","79.73"
"Etawah","3091.88","28675.37","31767.25","81401.08","7023.72","74377.36","3431.04","42270.94","42.71"
"Faizabad Ayodhya","6691.13","51372.96","58064.09","99866.63","7889.13","91977.5","7822.51","32782.02","63.13"
"Farrukhabad","3784.93","33753.52","37538.45","55959.58","4727.45","51232.13","4244.47","13234.14","73.27"
"Fatehpur","6945.93","90085.36","97031.29","148919.7","10830.96","138088.75","7940.09","40520.76","70.27"
"Firozabad","6405.04","68630.88","75035.92","72334.04","5335.15","66998.89","7151.21","7236.25","112"
"Gautam Buddha Nagar","1530.81","60634","62164.81","67159.4","5924.21","61235.19","1620.99","3882.66","101.52"
"Gaya","12573.75","56810.39","69384.14","118803.09","11880.33","106922.76","10130.82","38409.24","64.89"
"Ghaziabad","8060.3","37002.24","45062.54","42994.08","3456.81","39537.27","12199.42","1678","113.97"
"Ghazipur","6582.8","51244.48","57827.28","100703.66","5641.14","95062.52","7362.55","36455.44","60.83"
"Goalpara","2042.92","9866.64","11909.56","74380.8","9897.53","64483.27","2337.15","52270.66","18.47"
"Golaghat","1660.65","3677.52","5338.17","120200.55","16897","103303.55","1786.15","97827.12","5.17"
"Gonda","9194.93","48974.41","58169.34","100810.16","5711.68","95098.48","10644.32","35479.78","61.17"
"Gopalganj","7836.8","25322.6","33159.4","64395.39","5284.86","59110.53","5588.24","25337.68","56.1"
"Gorakhpur","8686.27","88464.86","97151.13","177653.66","15079.09","162574.56","9644.51","64465.23","59.76"
"Guntur","11249.23","41753.8","53003.03","177950.2","8897.56","169052.6","15899.09","119482.6","31.35"
"Hailakandi","778.15","5.04","783.19","25077.96","12222.51","12855.45","887.86","11962.56","6.09"
"Hamirpur","2125.79","31428.77","33554.56","53430.07","4155.43","49274.64","2255.14","15590.73","68.1"
"Hapur","3.27","49326.8","49330.07","52402.32","3162.81","49239.51","3.56","2391.8","100.18"
"Hardoi","8219.51","93874.65","102094.16","190954.66","15909.95","175044.7","9183.18","71986.87","58.32"
"Hathras","3966.28","54238.1","58204.38","66062.71","5162.58","60900.13","4390.96","7743.6","95.57"
"Jalaun","4162.29","50166","54328.29","116860.23","9216.36","107643.87","4509.25","52968.61","50.47"
"Jamui","4118.58","8661.82","12780.4","43615.98","4361.62","39254.36","3969.31","26038.2","32.56"
"Jaunpur","12180.13","74007","86187.13","131876.34","10516.36","121359.98","13725.89","33627.11","71.02"
"Jehanabad","3853.52","22424.41","26277.93","31896.95","3189.7","28707.25","2701.02","2514.61","91.54"
"Jhansi","3030.01","40434.77","43464.78","80331.73","5122.3","75209.43","3439.34","31335.34","57.79"
"Jorhat","1657.33","4215.12","5872.45","93262.3","27808.08","65454.22","1756.71","59479.2","8.97"
"Kaimur","4449.86","24609.74","29059.6","82365.98","8236.61","74129.37","3401.23","44696.4","39.2"
"Kamprup Metro Rural","755.97","342.72","1098.69","176673.69","20320.98","156352.7","840.17","155167.16","0.7"
"Kamrup","3189.14","20144.88","23334.02","93474.1","11283.18","82190.92","3412.23","58509.21","28.39"
"Kamrup Metropolitan","1107.37","80.64","1188.01","63252.71","15890.45","47362.26","1266.18","46014.86","2.51"
"Kannauj","4191.18","39944.5","44135.68","73348.97","5180.2","68168.77","4685.36","28671.84","64.74"
"Kanpur Dehat","3925.7","61299.46","65225.16","96440.41","7041.54","89398.87","4202.93","23896.49","72.96"
"Kanpur Nagar","7502.8","55330.64","62833.44","88483.53","5876.82","82606.71","8000","19276.06","76.06"
"Karbi Anglong","546.43","5913.6","6460.03","231948.52","23343.39","208605.12","566.31","202125.22","3.1"
"Karimganj","339.58","1537.2","1876.78","14649.72","3279.39","11370.33","225.11","9490.12","16.51"
"Kasganj","3786.7","37232.13","41018.83","60019.77","4222.71","55797.06","4325.08","14239.85","73.51"
"Katihar","9276.25","55624.59","64900.84","124907.04","12490.7","112416.34","7002.98","46746.77","57.73"
"Kaushambi","4266.45","35109.06","39375.51","55906.21","4449.76","51456.45","4995.9","12138.36","76.52"
"Khagaria","4225.03","22763.16","26988.19","58760.98","5067.34","53693.64","3563.17","26314.31","50.26"
"Kishanganj","4241.39","14930","19171.39","71393.52","6550.12","64843.4","3894.95","45244.46","29.57"
"Kokrajhar","3496.53","0","3496.53","6536.34","429.52","6106.82","3467.72","2560.14","57.26"
"Krishna","10215.78","62468.67","72684.45","270552.28","13527.86","257024.38","7912.62","186400.39","28.28"
"Kurnool","1106.7","34098.12","35204.82","182984.2","9149.45","173834.73","933.39","141044.14","20.25"
"Kushi Nagar","8272.46","59050.84","67323.3","175791.06","16913.59","158877.47","9485.76","90340.84","42.37"
"Lakhimpur","2156.85","3044.16","5201.01","101349.19","46749.04","54600.15","2398.64","49155.75","9.53"
"Lakhimpur Kheri","11307.14","109722.42","121029.56","215149.33","14291.34","200857.98","13690.09","77445.49","60.26"
"Lakhisarai","2523.24","10251.11","12774.35","29029.35","2902.96","26126.39","2349.1","13094.17","48.89"
"Lalitpur","3256.65","29491.4","32748.05","44341.12","3189.85","41151.27","3775.9","7883.96","79.58"
"Lohit","231.36","0","231.36","94333.15","7008.82","87324.33","254.34","87069.75","0.26"
"Lower Dibang Valley","32.87","0","32.87","77740.5","7774.05","69966.45","34.28","69932.17","0.05"
"Lower Subansiri","20.59","0","20.59","4396.58","605.32","3791.26","28.05","3763.21","0.54"
"Lucknow","11666.73","35829.96","47496.69","77212.48","5588.08","71624.4","14446.61","21347.91","66.31"
"Madhepura","5463.44","37525","42988.44","66456.96","5584.61","60872.35","4216.29","17421.05","70.62"
"Madhubani","10159.3","35650","45809.3","101942.41","8263.84","93678.57","9309.21","46847.38","48.9"
"Maharajganj","8792.55","38823.08","47615.63","111672.63","9402.78","102269.85","10123.69","54297.63","46.56"
"Mahoba","1114.08","17677.5","18791.58","21471.69","1388.53","20083.16","1212.54","1993.42","93.57"
"Mainpuri","6300.17","50606.67","56906.84","96318.16","6867.19","89450.97","6940.97","31969.31","63.61"
"Mathura","5595.12","74104.42","79707.54","89077.8","6043.39","83034.41","6311.81","6628.8","96"
"Mau","4400.74","34933.66","39334.4","72229.23","6356.19","65873.04","4870.51","26068.71","59.72"
"Meerut","6295.38","102382.33","108677.71","104570.85","6380.6","98190.25","6660.07","28628.97","110.7"
"Mirzapur","8048.48","41421.34","49469.82","113618.44","10168.12","103450.32","8520.7","53780.98","47.78"
"Moradabad","11075","59938.34","71013.34","110974.39","10992.56","99981.83","12149.99","27911.57","71.03"
"Morigaon","2244.32","10777.2","13021.52","49399.55","5809.19","43590.36","2583.67","30224.62","29.87"
"Munger","4278.13","9038.8","13316.93","33137.88","3313.8","29824.08","4118.19","16055.09","44.65"
"Muzaffarnagar","4955.86","112562.12","117517.98","138057.86","10288.56","127769.3","5275.11","98931.24","91.99"
"Muzaffarpur","13529.54","50464.21","63993.75","109093.14","10909.34","98183.8","11123.61","34957.9","65.18"
"Nagaon","4418.52","26891.76","31310.28","136116.1","13782.39","122333.71","5021.4","90388.77","25.59"
"Nalanda","9244.34","36353.2","45597.54","71382.94","6437.84","64945.1","7341.21","18667.23","70.21"
"Nalbari","1357.49","7153.44","8510.93","45798.93","7095.62","38703.31","1458.79","30085.54","21.99"
"Nawada","5107.06","26413.64","31520.7","61890.68","6006.09","55884.59","4038.36","23920.58","56.4"
"New Delhi","2202.79","477.03","2679.82","2305.91","230.59","2075.31","2295.72","0","129.13"
"Nicobars","83.2","0.44","83.64","15185.09","1518.51","13666.58","93.92","13574.55","0.61"
"Non Revenue Unit","44.06","249.2","293.26","519.37","51.94","467.47","44.89","173.34","62.73"
"North & Middle Andaman","327.21","0.8","328.01","9783.5","978.34","8805.16","269.19","8452.16","3.72"
"North Delhi","4713.58","263.36","4976.94","5148.32","514.83","4633.49","1241.82","45.36","107.41"
"North East Delhi","1005.52","105.16","1110.68","1194.74","119.47","1075.27","1024.82","6.78","103.29"
"North West Delhi","1829.42","498.75","2328.17","3693.29","369.33","3323.97","1878.03","947.18","70.04"
"Papum Pare","115.79","0","115.79","10582.85","1180.76","9402.1","128.6","9255.01","1.23"
"Patna","14635.38","40694.22","55329.6","98971.29","9554.04","89417.25","12992.6","32661.44","61.88"
"Pilibhit","9292.35","93757.31","103049.66","166870.19","12790.44","154079.73","10989.16","83145.42","66.89"
"Prakasam","2146.24","39039.8","41186.04","133251.86","6663.23","126588.6","10307.36","85908.04","32.54"
"Pratapgarh","9649.4","48241.74","57891.14","93391.43","8365.38","85026.05","11455.12","33543.19","68.09"
"Prayagraj","16415.99","83776.69","100192.68","147078.38","12026.33","135052.05","18291.78","35279.67","74.19"
"Purnia","8701","48654.17","57355.17","104215.59","7999.51","96216.08","6498.35","38147.51","59.61"
"Raebareli","9165.42","78933.74","88100.16","126085.26","11810.79","114274.47","10883.63","41629.8","77.11"
"Rampur","6631.71","63826.15","70457.86","126345.49","9617.92","116727.57","7972.53","45023.74","60.35"
"Rohtas","7869.25","19804.68","27673.93","88354.48","8835.46","79519.02","7383.79","51034.54","34.8"
"Saharanpur","6112.5","105863.42","111975.92","156432.69","10726.82","145705.88","6539","33203.51","76.82"
"Saharsa","4803.83","21157.5","25961.33","60725.92","4466.89","56259.03","4284.11","29827.43","46.15"
"Samastipur","10207.22","44368.09","54575.31","93322.83","8911.2","84411.63","8271.16","28928.4","64.65"
"Sambhal","5401.36","34589.16","39990.52","49614.47","3073.58","46540.89","6263.01","5910.42","85.93"
"Sant Kabeer Nagar","4110.76","25180.86","29291.62","47250.37","2986.5","44263.87","4631.67","14451.35","66.18"
"Sant Kabir Nagar","3649.63","31570.91","35220.54","77480.94","6268.02","71212.92","4067.91","33388.7","49.47"
"Sant Ravidas Nagar","3336.18","23564.51","26900.69","36687.9","3170.36","33517.54","3626.5","6326.52","80.26"
"Saran","9781.07","40423.67","50204.74","91464.92","9034.53","82430.39","8146.29","31331.45","60.91"
"Shahdara","1213.72","239.11","1452.83","1489.27","148.93","1340.35","1249.48","6.36","108.39"
"Shahjahanpur","10053.99","73113.16","83167.15","143743.34","12468.86","131274.48","11569.13","64764.54","63.37"
"Shamli","2991.86","73179.08","76170.94","87114.3","7204.55","79909.75","3110.34","36260.2","95.34"
"Sheikhpura","1876.87","6876.55","8753.42","18214.3","1821.42","16392.88","1653.36","7457.96","53.4"
"Sheohar","1605.46","6568.9","8174.36","16107.32","1610.73","14496.59","1378.81","6170.88","56.39"
"Shrawasti","2420.47","18034.64","20455.11","36795.32","3126.02","33669.3","2879.2","15148.64","60.75"
"Siddharth Nagar","6930.18","47152.3","54082.48","92838.87","5237.28","87601.59","8079.37","32369.89","61.74"
"Sitamarhi","8021.51","23829.1","31850.61","64131.5","5542.71","58588.79","7362.71","25929.98","54.36"
"Sitapur","11446.33","120936.37","132382.7","224029.25","18158.66","205870.6","12765.43","101111.4","64.3"
"Sivasagar","2516.9","2437.68","4954.58","80478.03","15012.58","65465.45","2647.76","60354.37","7.57"
"Siwan","8152.06","42218.45","50370.51","88217.05","6556.98","81660.07","6508.52","30575.1","61.68"
"Sonbhadra","3286.85","36747.88","40034.73","130791.42","11806.46","118984.96","3797.26","78439.82","33.64"
"Sonitpur","4501.89","8611.68","13113.57","162391.73","40011.54","122380.19","4908.05","108812.29","10.72"
"South Andaman","314.36","13.54","327.9","6582.72","562.4","6020.32","331.62","5661.64","5.45"
"South Delhi","2678.04","242.24","2920.28","2713.22","271.32","2441.89","2731.66","0","119.59"
"South East Delhi","1399.25","242.99","1642.24","1731.68","173.17","1558.51","1290.45","36.6","105.37"
"South West Delhi","2075.64","3911.46","5987.1","6097.57","609.76","5487.82","2166.33","139.75","109.1"
"Sri Potti Sriramulu Nellore","6569.86","92776.89","99346.75","315628.25","15781.68","299846.6","8782.27","202391.98","33.13"
"Srikakulam","9202.18","19558.03","28760.21","128196.34","6410.19","121786.08","16816.98","92526.57","23.62"
"Sultanpur","6435.3","51242.96","57678.26","93556.74","7311","86245.74","7512.29","27415.49","66.89"
"Supaul","5670.96","24993.15","30664.11","82420.82","8242.06","74178.76","4722.35","42996.28","41.34"
"Tinsukia","3033.88","4033.68","7067.56","146289.84","30590.4","115699.44","3311.78","108326.73","6.11"
"Tirap","66.63","0","66.63","7492.73","374.63","7118.1","71.23","7046.87","0.94"
"Udalguri","1674.95","4467.12","6142.07","72306.99","23800.72","48506.27","1773.7","42257.66","12.66"
"Unnao","5959.71","103216.16","109175.87","162287.62","13383.62","148904.02","6708.59","78979.8","73.3"
"Upper Subansiri","19.11","0","19.11","321.65","32.17","289.49","26.37","263.12","6.6"
"Vaishali","8930.32","33210.58","42140.9","75093.36","7509.34","67584.02","7665.81","24601.61","62.35"
"Varanasi","6912.18","23479.41","30391.59","68108.74","5777.01","62331.73","8507.43","30345.64","48.75"
"Visakhapatnam","16401.57","9179.49","25581.06","98907.72","4946.16","93961.54","16655.83","69745.23","27.23"
"Vizianagaram","1946.54","40775.74","42722.28","225635.67","11282.52","214353.03","5440.5","170335.19","19.93"
"West Champaran","9915.98","32459.7","42375.68","137573.2","11298.57","126274.63","9136.96","82895.96","33.56"
"West Delhi","2080.69","658.55","2739.24","3354.02","335.4","3018.61","2099.45","381.17","90.75"
"West Godavari","4837.26","43944.04","48781.3","180420.05","9017.37","171402.62","6494.29","123262.98","28.46"
"West Kameng","12.12","0","12.12","2801.46","280.15","2521.31","12.25","2508.34","0.48"
"West Siang","23.43","0","23.43","5362.02","536.2","4825.82","23.04","4801.34","0.49"
"YSR","4689.49","54137.88","58827.37","115711.55","5785.62","109925.89","4305.3","64789.06","53.52"
